Gene stable ID	Transcript stable ID
ENSG00000164362	ENST00000334602
ENSG00000164362	ENST00000508104
ENSG00000139546	ENST00000550147
ENSG00000139546	ENST00000266987
ENSG00000139546	ENST00000456234
ENSG00000139546	ENST00000552857
ENSG00000139546	ENST00000548971
ENSG00000139546	ENST00000547064
ENSG00000139546	ENST00000551741
ENSG00000139546	ENST00000552817
ENSG00000139546	ENST00000549572
ENSG00000139546	ENST00000549679
ENSG00000139546	ENST00000394357
ENSG00000139546	ENST00000550407
ENSG00000172409	ENST00000533682
ENSG00000172409	ENST00000525602
ENSG00000172409	ENST00000302731
ENSG00000128191	ENST00000351989
ENSG00000128191	ENST00000407755
ENSG00000128191	ENST00000383024
ENSG00000170365	ENST00000302085
ENSG00000170365	ENST00000394092
ENSG00000170365	ENST00000515385
ENSG00000113360	ENST00000511367
ENSG00000113360	ENST00000513349
ENSG00000113360	ENST00000442743
ENSG00000113360	ENST00000344624
ENSG00000175387	ENST00000262160
ENSG00000175387	ENST00000402690
ENSG00000175387	ENST00000586040
ENSG00000175387	ENST00000356825
ENSG00000165819	ENST00000298717
ENSG00000166949	ENST00000327367
ENSG00000166949	ENST00000540846
ENSG00000166949	ENST00000439724
ENSG00000166949	ENST00000537194
ENSG00000136937	ENST00000375147
ENSG00000122566	ENST00000354667
ENSG00000122566	ENST00000360787
ENSG00000122566	ENST00000356674
ENSG00000087087	ENST00000618262
ENSG00000087087	ENST00000614484
ENSG00000087087	ENST00000618411
ENSG00000087087	ENST00000611405
ENSG00000134744	ENST00000371544
ENSG00000134698	ENST00000373210
ENSG00000092847	ENST00000373204
ENSG00000126070	ENST00000373191
ENSG00000126070	ENST00000246314
ENSG00000187772	ENST00000345080
ENSG00000123908	ENST00000220592
ENSG00000123908	ENST00000519980
ENSG00000160710	ENST00000368474
ENSG00000160710	ENST00000368471
ENSG00000131914	ENST00000326279
ENSG00000131914	ENST00000254231
ENSG00000100084	ENST00000340170
ENSG00000100084	ENST00000263208
ENSG00000137309	ENST00000347617
ENSG00000137309	ENST00000401473
ENSG00000137309	ENST00000311487
ENSG00000137309	ENST00000374116
ENSG00000137309	ENST00000447654
ENSG00000111875	ENST00000229595
ENSG00000119778	ENST00000238789
ENSG00000156802	ENST00000287394
ENSG00000198160	ENST00000357692
ENSG00000198160	ENST00000401041
ENSG00000198160	ENST00000371016
ENSG00000198160	ENST00000371014
ENSG00000198160	ENST00000371012
ENSG00000198160	ENST00000401042
ENSG00000198160	ENST00000355356
ENSG00000198160	ENST00000355977
ENSG00000198160	ENST00000371018
ENSG00000169375	ENST00000394947
ENSG00000169375	ENST00000360439
ENSG00000169375	ENST00000394949
ENSG00000093009	ENST00000407835
ENSG00000093009	ENST00000404724
ENSG00000093009	ENST00000263201
ENSG00000093009	ENST00000437685
ENSG00000077463	ENST00000305232
ENSG00000077463	ENST00000337491
ENSG00000172409	ENST00000529430
ENSG00000090905	ENST00000315183
ENSG00000090905	ENST00000395799
ENSG00000100354	ENST00000402203
ENSG00000100354	ENST00000335727
ENSG00000100354	ENST00000301923
ENSG00000100354	ENST00000454349
ENSG00000078687	ENST00000588847
ENSG00000078687	ENST00000588061
ENSG00000078687	ENST00000301624
ENSG00000078687	ENST00000335749
ENSG00000142279	ENST00000590071
ENSG00000129474	ENST00000262713
ENSG00000129474	ENST00000397388
ENSG00000129474	ENST00000361265
ENSG00000198791	ENST00000361272
ENSG00000198791	ENST00000523917
ENSG00000155363	ENST00000413052
ENSG00000155363	ENST00000369645
ENSG00000155363	ENST00000357443
ENSG00000242372	ENST00000374436
ENSG00000242372	ENST00000374443
ENSG00000242372	ENST00000374450
ENSG00000242372	ENST00000621148
ENSG00000113300	ENST00000393356
ENSG00000113300	ENST00000618123
ENSG00000113300	ENST00000261951
ENSG00000144791	ENST00000273317
ENSG00000155508	ENST00000523698
ENSG00000155508	ENST00000517876
ENSG00000155508	ENST00000521450
ENSG00000155508	ENST00000403027
ENSG00000155508	ENST00000285896
